date,India_infected,India_Relativecases,India_vaccinationRate,Germany_infected,Germany_Relativecases,Germany_vaccinationRate,Spain_infected,Spain_Relativecases,Spain_vaccinationRate
2020-04-12,9205.0,6.606100421339812e-06,,120479.0,0.001435975252153233,,166831.0,0.0035689431372980646,
2020-04-13,10453.0,7.5017455409304785e-06,,123016.0,0.0014662134614238339,,170099.0,0.0036388540421819896,
2020-04-14,11487.0,8.243810487770822e-06,,125098.0,0.001491028578373535,,172541.0,0.0036910946877531476,
2020-04-15,12322.0,8.84306022724054e-06,,127584.0,0.0015206589245488264,,177644.0,0.00380026095079558,
2020-04-16,13430.0,9.638232336620715e-06,,130450.0,0.001554818446728386,,184948.0,0.003956512251062467,
2020-04-17,14352.0,1.0299918875292665e-05,,133830.0,0.0015951042753979295,,190839.0,0.004082535855919016,
2020-04-18,15722.0,1.1283119046638189e-05,,137439.0,0.0016381195285542556,,191726.0,0.004101511061742774,
2020-04-19,17615.0,1.2641657677555761e-05,,139897.0,0.0016674161459713378,,198674.0,0.004250146608601253,
2020-04-20,18539.0,1.3304779544945005e-05,,141672.0,0.0016885721654649592,,200210.0,0.004283005589599328,
2020-04-21,20080.0,1.4410700321619058e-05,,143457.0,0.0017098473738007978,,204178.0,0.004367891290511022,
2020-04-22,21370.0,1.533648734427287e-05,,145694.0,0.0017365099178048714,,208389.0,0.004457975384900926,
2020-04-23,23077.0,1.656154040448222e-05,,148046.0,0.0017645431334944472,,213024.0,0.004557129927170507,
2020-04-24,24530.0,1.7604306717595393e-05,,150383.0,0.0017923975659206966,,202990.0,0.004342476922395323,
2020-04-25,26283.0,1.8862372338302473e-05,,152438.0,0.0018168908729964102,,205905.0,0.004404836251568102,
2020-04-26,27890.0,2.001565896264719e-05,,154175.0,0.0018375939748896046,,207634.0,0.00444182399775669,
2020-04-27,29451.0,2.1135933026494166e-05,,155193.0,0.0018497273990273548,,209465.0,0.004480993785652181,
2020-04-28,31324.0,2.2480118370238814e-05,,156337.0,0.0018633626025770463,,210773.0,0.004508975261658355,
2020-04-29,33062.0,2.37274190255662e-05,,157641.0,0.0018789048276022192,,212917.0,0.004554840922634834,
2020-04-30,34863.0,2.501993253548831e-05,,159119.0,0.0018965209384819782,,213435.0,0.004565922271695383,
2020-05-01,37257.0,2.673802101008771e-05,,160758.0,0.0019160559897214403,,215216.0,0.0046040224313031765,
2020-05-02,39699.0,2.849055737390214e-05,,161703.0,0.001927319335311002,,216582.0,0.004633244676123079,
2020-05-03,42505.0,3.0504323564263847e-05,,162496.0,0.0019367710104988565,,217466.0,0.004652155704249575,
2020-05-04,46437.0,3.3326179822461364e-05,,163175.0,0.0019448639328854304,,218011.0,0.004663814652585481,
2020-05-05,49400.0,3.545261931713055e-05,,163860.0,0.001953028368577335,,219329.0,0.004692010054249194,
2020-05-06,52987.0,3.802688137159507e-05,,164807.0,0.00196431555193534,,220325.0,0.004713317049740133,
2020-05-07,56351.0,4.044110427408145e-05,,166091.0,0.001979619399276078,,221447.0,0.004737319508516071,
2020-05-08,59695.0,4.28409738893949e-05,,167300.0,0.001994029330300184,,222857.0,0.004767483026229147,
2020-05-09,62808.0,4.507506303786104e-05,,168551.0,0.002008939854461604,,223578.0,0.004782907066137748,
2020-05-10,67161.0,4.819905599104868e-05,,169218.0,0.0020168897502375167,,224350.0,0.004799422126899802,
2020-05-11,70768.0,5.078767133268613e-05,,169575.0,0.0020211447919046845,,227436.0,0.004865439584816507,
2020-05-12,74292.0,5.3316720532555925e-05,,170508.0,0.002032265110883585,,228030.0,0.0048781467688743555,
2020-05-13,78055.0,5.601729151414221e-05,,171306.0,0.002041776380492548,,228691.0,0.00489228725483772,
2020-05-14,81997.0,5.884632441592619e-05,,172239.0,0.002052896699471449,,229540.0,0.004910449543162828,
2020-05-15,85784.0,6.156411934211998e-05,,173152.0,0.0020637786407659143,,230183.0,0.004924204962942621,
2020-05-16,90648.0,6.505483878257591e-05,,173772.0,0.002071168348983404,,230698.0,0.004935222134305908,
2020-05-17,95698.0,6.867904379374006e-05,,174355.0,0.0020781170584846897,,230698.0,0.004935222134305908,
2020-05-18,100328.0,7.200182977427275e-05,,174697.0,0.002082193316888531,,231606.0,0.004954646584010499,
2020-05-19,106475.0,7.641331258687197e-05,,175210.0,0.002088307704494293,,232037.0,0.004963866779850453,
2020-05-20,112028.0,8.039850277043525e-05,,176007.0,0.0020978070552190344,,232555.0,0.004974948128911002,
2020-05-21,118226.0,8.484658646532543e-05,,176752.0,0.0021066866239642444,,233037.0,0.0049852593456044085,
2020-05-22,124794.0,8.956020597291478e-05,,177212.0,0.0021121693107062534,,234824.0,0.005023487860606726,
2020-05-23,131423.0,9.431760300638155e-05,,177850.0,0.002119773558839735,,235290.0,0.005033456796248069,
2020-05-24,138536.0,9.942234958943315e-05,,178281.0,0.0021249105979393133,,235772.0,0.005043768012941476,
2020-05-25,144950.0,0.00010402544878579095,,178570.0,0.0021283551554794012,,235400.0,0.005035809978481004,
2020-05-26,150793.0,0.00010821876163336168,,179002.0,0.002133504113463201,,236259.0,0.005054186192463651,
2020-05-27,158086.0,0.00011345268780096963,,179364.0,0.0021378187495514774,,236259.0,0.005054186192463651,
2020-05-28,165386.0,0.00011869163761908812,,179717.0,0.002142026115681758,,237906.0,0.005089419748260415,
2020-05-29,173491.0,0.00012450830724591692,,180458.0,0.0021508580088900812,,238564.0,0.005103496056526518,
2020-05-30,181827.0,0.00013049075733959304,,181196.0,0.002159654145445739,,239228.0,0.005117700720187144,
2020-05-31,190609.0,0.00013679328573722546,,181482.0,0.002163062946333162,,239479.0,0.005123070254191386,
2020-06-01,198370.0,0.00014236307882467992,,181815.0,0.0021670319347790075,,239638.0,0.005126471672146265,
2020-06-02,207191.0,0.0001486935961322995,,182028.0,0.0021695706571182418,,239932.0,0.0051327610864779286,
2020-06-03,216824.0,0.00015560685689913997,,182370.0,0.0021736469155220835,,240326.0,0.005141189757384986,
2020-06-04,226713.0,0.0001627038397417939,,182764.0,0.002178342955905456,,240660.0,0.005148334874346808,
2020-06-05,236184.0,0.00016950083888253364,,183271.0,0.0021843858302058876,,240978.0,0.005155137710256565,
2020-06-06,246622.0,0.0001769918194580844,,183678.0,0.002189236816084143,,241310.0,0.0051622400420868785,
2020-06-07,257486.0,0.00018478852505041855,,183979.0,0.0021928244002348924,,241550.0,0.0051673742578678275,
2020-06-08,265928.0,0.0001908470475661112,,184193.0,0.0021953750414583488,,241717.0,0.005170946816348738,
